SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY
1981D,hst_17194_13_wfc3_uvis_f625w_iey913_drc,1,50.6843829,-37.2603826,76.59,0.946,0.695,3.5,0.519,0.1682,0.6199844,0.0960293,2.016741,-0.42842674,1.1693685
1981D,hst_13691_36_wfc3_ir_f160w_icnw36_drz,2,50.6977621,-37.3273233,-29.7,0.877,0.653,13.56,-4.4008,0.0143,57.58859,0.7561813,1.5558203,0.90136963,2.0889692
1981D,hst_13691_32_wfc3_ir_f160w_icnw32_drz,3,50.6984225,-37.3279069,51.91,1.713,1.135,4.5,-6.4658,0.0013,385.7519,0.4504847,0.6103875,-0.42282829,0.50640136
1981D,hst_13691_37_wfc3_ir_f110w_icnw37_drz,4,50.6976207,-37.3332669,2.89,0.721,0.155,6.35,0.8282,0.4842,0.466347,0.2079171,2.0251548,-4.024744,41.758472
1981D,hst_11691_03_wfc3_ir_f160w_ib3n03_drz,5,50.6736815,-37.2079722,-36.91,70.917,42.124,3.5,-16.5196,0.0,4053585.0,180.0473,0.00033037952,0.00035026838,0.00043200827
1981D,hst_11691_03_wfc3_ir_f110w_ib3n03_drz,6,50.6736654,-37.2079692,-36.53,71.893,43.725,3.5,-17.0936,0.0,6877582.0,307.7568,0.00031023574,0.00031526567,0.00040629145
1981D,hst_11691_03_wfc3_ir_f160w_drz,7,50.677547,-37.2331918,-0.48,26.511,7.076,3.5,-8.0015,0.0089,1587.109,13.03646,0.001424111,0.00030920067,0.019968657
1981D,hst_11691_03_wfc3_ir_f110w_drz,8,50.6857506,-37.2264292,-73.02,33.06,10.563,3.5,-8.7762,0.0113,3239.448,33.78802,0.008276891,0.0044953534,0.0016011532
2012Z,hst_15889_02_wfc3_ir_f125w_ie5402_drz,9,50.5422363,-15.3845361,22.09,2.248,0.69,3.5,-7.5875,0.013,1083.951,12.93097,0.46654421,-1.3245031,1.8299396
2012Z,hst_11570_20_wfc3_ir_f160w_ib1f20_drz,10,50.5357384,-15.4153018,-71.23,15.569,7.866,3.5,-7.156,0.0032,728.4533,2.126666,0.014914607,0.007334556,0.0053720553
2012Z,hst_15889_02_wfc3_ir_f160w_ie5402_drz,11,50.5421544,-15.3814877,-86.2,1.108,0.495,5.67,-3.4061,0.2779,23.03849,5.89487,4.0619869,0.43122005,0.8284601
2012Z,hst_12913_01_wfc3_uvis_f625w_ibzy01_drc,12,50.5527522,-15.4138007,-24.26,1.428,0.492,3.5,0.472,0.0752,0.6474704,0.04481898,1.104035,2.7244403,3.5127709
2012Z,hst_15889_02_wfc3_ir_f105w_ie5402_drz,13,50.5422469,-15.3839825,-53.48,1.287,1.169,3.5,-8.9149,0.0038,3680.791,12.9946,0.6869179,0.12251116,0.64954126
2012Z,hst_13360_01_wfc3_uvis_f625w_icb401_drc,14,50.5529043,-15.4136447,1.47,0.991,0.498,3.5,1.4533,0.0744,0.262236,0.01796342,1.021185,-0.15494631,4.0357575
2012Z,hst_15889_02_wfc3_ir_f140w_ie5402_drz,15,50.5436296,-15.3829426,-34.64,2.191,1.295,3.5,-9.2481,0.0039,5003.314,17.9379,0.33368903,0.36291051,0.47095641
2012Z,hst_12913_01_wfc3_uvis_f625w_drz,16,50.551746,-15.4146382,0.05,20.694,3.555,5.33,-3.769,0.0199,32.18242,0.5885824,0.0023352967,-0.00014257616,0.079142459
2012Z,hst_11570_20_wfc3_ir_f160w_drz,17,50.5348374,-15.422509,22.68,0.536,0.535,3.5,1.9535,0.1955,0.1654257,0.02978176,3.4826369,-0.0068450142,3.4893978
ASASSN-16ip,hst_17446_06_wfc3_ir_f110w_if7r06_drz,18,36.8459051,-23.9303975,-57.9,42.728,13.95,3.5,-6.9453,0.0073,599.9363,4.017759,0.0038420504,0.00413376,0.0018445269
