SNID,Filename,Date,Photometric Calibration,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
2005W,pantheon_data_folder/2005W/mastDownload/HST/idgg0b020/idgg0b020_drz.fits,2025-04-11,WFC3 IR F160W MJD#58167.0233,1.947097475e-20,-21.1,15369.176,25.93527784632269
2005W,pantheon_data_folder/2005W/mastDownload/HST/idgg01020/idgg01020_drz.fits,2025-03-31,WFC3 IR F160W MJD#58067.6117,1.9467796e-20,-21.1,15369.176,25.93545511355029
2005W,pantheon_data_folder/2005W/mastDownload/HST/idgg03020/idgg03020_drz.fits,2025-04-03,WFC3 IR F160W MJD#58086.9005,1.9468414e-20,-21.1,15369.176,25.93542064769064
2005W,pantheon_data_folder/2005W/mastDownload/HST/idgg06020/idgg06020_drz.fits,2025-04-07,WFC3 IR F160W MJD#58118.4019,1.946942e-20,-21.1,15369.176,25.93536454541119
2006X,pantheon_data_folder/2006X/mastDownload/HST/iejn62010/iejn62010_drz.fits,2025-04-08,WFC3 IR F160W MJD#59706.5863,1.952018375e-20,-21.1,15369.176,25.932537326506313
2006X,pantheon_data_folder/2006X/mastDownload/HST/ie9801020/ie9801020_drz.fits,2025-04-04,WFC3 IR F160W MJD#58990.6318,1.94972994999999e-20,-21.1,15369.176,25.933810922828947
2006X,pantheon_data_folder/2006X/mastDownload/HST/ie9801010/ie9801010_drz.fits,2025-03-31,WFC3 IR F110W MJD#58990.6279,1.54740415e-20,-21.1,11534.459,26.808004458603335
2006X,pantheon_data_folder/2006X/mastDownload/HST/iejn02010/iejn02010_drz.fits,2025-04-04,WFC3 IR F160W MJD#59361.5952,1.9509157e-20,-21.1,15369.176,25.93315082095866
2006X,pantheon_data_folder/2006X/mastDownload/HST/idkv31030/idkv31030_drz.fits,2025-04-07,WFC3 IR F160W MJD#58153.7511,1.9470549e-20,-21.1,15369.176,25.935301587159962
2005mz,pantheon_data_folder/2005mz/mastDownload/HLA/HST_7330_1r_NIC_NIC2_F160W/HST_7330_1r_NIC_NIC2_F160W_drz.fits,2009-11-27T21:45:59,"NICMOS,2,F160W,DN",5.4149073e-19,-21.1,16059.9,22.22930825092475
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02010/icoe02010_drz.fits,2025-03-31,WFC3 IR F160W MJD#57075.1594,1.9436074e-20,-21.1,15369.176,25.937225720511528
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02020/icoe02020_drz.fits,2025-04-03,WFC3 IR F160W MJD#57075.1659,1.9436074e-20,-21.1,15369.176,25.937225720511528
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02080/icoe02080_drz.fits,2025-04-11,WFC3 IR F160W MJD#57075.1860,1.9436074e-20,-21.1,15369.176,25.937225720511528
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02060/icoe02060_drz.fits,2025-04-03,WFC3 IR F160W MJD#57075.1856,1.9436074e-20,-21.1,15369.176,25.937225720511528
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02050/icoe02050_drz.fits,2025-03-31,WFC3 IR F160W MJD#57075.1853,1.9436074e-20,-21.1,15369.176,25.937225720511528
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/n46001020/n46001021_mos.fits,2009-11-05T08:37:00,"NICMOS,2,F160W,DN",2.3600094e-19,-21.1,16059.9,23.13100148436843
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/n46001020/n46001020_mos.fits,2009-11-05T08:36:59,"NICMOS,2,F160W,DN",2.3600094e-19,-21.1,16059.9,23.13100148436843
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/n3zb1r010/n3zb1r010_mos.fits,2009-06-16T10:05:06,"NICMOS,2,F160W,DN",2.3600094e-19,-21.1,16059.9,23.13100148436843
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02040/icoe02040_drz.fits,2025-04-11,WFC3 IR F160W MJD#57075.1790,1.9436074e-20,-21.1,15369.176,25.937225720511528
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02070/icoe02070_drz.fits,2025-04-07,WFC3 IR F160W MJD#57075.1858,1.9436074e-20,-21.1,15369.176,25.937225720511528
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02030/icoe02030_drz.fits,2025-04-07,WFC3 IR F160W MJD#57075.1725,1.9436074e-20,-21.1,15369.176,25.937225720511528
2006D,pantheon_data_folder/2006D/mastDownload/HST/idxb05030/idxb05030_drz.fits,2025-04-11,WFC3 IR F160W MJD#59006.5929,1.94978089999999e-20,-21.1,15369.176,25.933782550932186
2006D,pantheon_data_folder/2006D/mastDownload/HST/idxb08j3q/idxb08j3q_drz.fits,2025-04-07,WFC3 IR F160W MJD#59036.3950,1.9498762e-20,-21.1,15369.176,25.93372948438931
