SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_17194_13_wfc3_uvis_f625w_iey913/hst_17194_13_wfc3_uvis_f625w_iey913_drc.fits,hst_17194_13_wfc3_uvis_f625w_iey913_drc,2024-11-09,HST,WFC3,F625W,-1.10E-05,3.19E-23,-1.22E-22,1.10E-05,B,F
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_13691_36_wfc3_ir_f160w_icnw36/hst_13691_36_wfc3_ir_f160w_icnw36_drz.fits,hst_13691_36_wfc3_ir_f160w_icnw36_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,3.94E-22,9.15E-23,3.56E-05,B,F
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_13691_32_wfc3_ir_f160w_icnw32/hst_13691_32_wfc3_ir_f160w_icnw32_drz.fits,hst_13691_32_wfc3_ir_f160w_icnw32_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.32E-22,-4.14E-22,3.56E-05,B,F
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_13691_37_wfc3_ir_f110w_icnw37/hst_13691_37_wfc3_ir_f110w_icnw37_drz.fits,hst_13691_37_wfc3_ir_f110w_icnw37_drz,2024-11-09,HST,WFC3,F110W,-3.56E-05,1.07E-22,-5.35E-23,3.56E-05,B,T
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_11691_03_wfc3_ir_f160w_ib3n03/hst_11691_03_wfc3_ir_f160w_ib3n03_drz.fits,hst_11691_03_wfc3_ir_f160w_ib3n03_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-2.05E-21,-1.09E-21,3.56E-05,B,T
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_11691_03_wfc3_ir_f110w_ib3n03/hst_11691_03_wfc3_ir_f110w_ib3n03_drz.fits,hst_11691_03_wfc3_ir_f110w_ib3n03_drz,2024-11-09,HST,WFC3,F110W,-3.56E-05,1.47E-21,1.14E-21,3.56E-05,B,T
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HLA/hst_11691_03_wfc3_ir_f160w/hst_11691_03_wfc3_ir_f160w_drz.fits,hst_11691_03_wfc3_ir_f160w_drz,2017-08-12,HST,WFC3,F160W,-2.50E-05,0,0,2.50E-05,B,nan
1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HLA/hst_11691_03_wfc3_ir_f110w/hst_11691_03_wfc3_ir_f110w_drz.fits,hst_11691_03_wfc3_ir_f110w_drz,2017-08-12,HST,WFC3,F110W,-2.50E-05,0,0,2.50E-05,B,nan
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_15889_02_wfc3_ir_f125w_ie5402/hst_15889_02_wfc3_ir_f125w_ie5402_drz.fits,hst_15889_02_wfc3_ir_f125w_ie5402_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,-3.67E-23,-4.01E-23,3.56E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_11570_20_wfc3_ir_f160w_ib1f20/hst_11570_20_wfc3_ir_f160w_ib1f20_drz.fits,hst_11570_20_wfc3_ir_f160w_ib1f20_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-2.09E-21,-1.05E-21,3.56E-05,B,F
2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_15889_02_wfc3_ir_f160w_ie5402/hst_15889_02_wfc3_ir_f160w_ie5402_drz.fits,hst_15889_02_wfc3_ir_f160w_ie5402_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-3.91E-23,-2.94E-23,3.56E-05,B,F
