SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY
1981D,hst_skycell-p0497x09y14_wfc3_ir_f160w_all_drz,1,50.6972846,-37.3278216,-4.49,0.862,0.696,3.5,-0.7742,0.0144,2.040264,0.02697564,1.3487041,0.11263416,2.0607424
1981D,hst_13691_36_wfc3_ir_f160w_icnw36_drz,2,50.6977621,-37.3273233,-29.7,0.877,0.653,13.56,-4.4008,0.0143,57.58859,0.7561813,1.5558203,0.90136963,2.0889692
1981D,iey913020_drc,3,50.6416702,-37.2037841,58.15,1.015,0.389,7.33,0.2845,0.2144,0.769457,0.1518953,5.0446577,-5.0607762,2.5430863
1981D,ib3n03060_drz,4,50.6737663,-37.208012,35.45,70.256,35.733,3.5,-17.0457,0.0001,6580866.0,438.0425,0.00039786007,-0.00054859306,0.00058791024
1981D,hst_11691_03_wfc3_ir_f110w_ib3n03_drz,5,50.6736654,-37.2079692,-36.53,71.893,43.725,3.5,-17.0936,0.0,6877582.0,307.7568,0.00031023574,0.00031526567,0.00040629145
1981D,hst_11691_03_wfc3_ir_f160w_drz,6,50.677547,-37.2331918,-0.48,26.511,7.076,3.5,-8.0015,0.0089,1587.109,13.03646,0.001424111,0.00030920067,0.019968657
1981D,hst_17194_13_wfc3_uvis_f625w_iey913_drc,7,50.6843829,-37.2603826,76.59,0.946,0.695,3.5,0.519,0.1682,0.6199844,0.0960293,2.016741,-0.42842674,1.1693685
1981D,hst_skycell-p0497x09y14_wfc3_ir_f160w_coarse-all_drz,8,50.6977951,-37.3278526,72.86,0.778,0.492,3.5,-3.2771,0.0093,20.45692,0.1757037,3.9139402,-1.3945146,1.8687636
1981D,hst_13691_37_wfc3_ir_f110w_icnw37_drz,9,50.6976207,-37.3332669,2.89,0.721,0.155,6.35,0.8282,0.4842,0.466347,0.2079171,2.0251548,-4.024744,41.758472
1981D,hst_11691_03_wfc3_ir_f160w_ib3n03_drz,10,50.6736815,-37.2079722,-36.91,70.917,42.124,3.5,-16.5196,0.0,4053585.0,180.0473,0.00033037952,0.00035026838,0.00043200827
1981D,hst_skycell-p0497x09y14_wfc3_ir_f110w_all_drz,11,50.6996246,-37.3333434,-17.84,0.763,0.451,8.83,0.021,0.0981,0.9808007,0.08857537,2.0173573,1.8721732,4.6244373
