SNID,File_key,Galaxy_key,Galaxy_RA,Galaxy_Dec,Zeropoint,Instrumental_Mag,Apparent_Magnitude,Absolute_Magnitude,Flag_mag,Flag_instrum
1997bq,hst_15145_33_wfc3_ir_f160w_idgg33_drz,1,154.2230311,73.4007045,25.93547901163736,-15.0465,10.888979011637359,-22.144595255803466,False,False
1997bq,idgg33020_drz,2,154.2227621,73.4005957,25.93547901163736,-15.0686,10.866879011637359,-22.166695255803468,False,False
1997bq,hst_15145_39_wfc3_ir_f160w_idgg39_drz,3,154.223238,73.4006844,25.93547901163736,-15.126,10.80947901163736,-22.22409525580347,False,False
1997bq,idgg31020_drz,4,154.2230451,73.4006644,25.93547901163736,-15.0444,10.891079011637359,-22.142495255803468,False,False
1997bq,hst_15145_37_wfc3_ir_f160w_idgg37_drz,5,154.2232237,73.400662,25.93547901163736,-15.1221,10.813379011637359,-22.220195255803468,False,False
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_all_drz,6,154.1960113,73.376895,25.93547901163736,-6.9601,18.975379011637358,-14.058195255803469,False,False
1997bq,idgg35020_drz,7,154.2228057,73.4005929,25.93547901163736,-15.0676,10.867879011637358,-22.16569525580347,False,False
1997bq,idgg39020_drz,8,154.2241786,73.4007297,25.93547901163736,-15.0329,10.902579011637359,-22.13099525580347,False,False
1997bq,hst_15145_3b_wfc3_ir_f160w_idgg3b_drz,9,154.2232291,73.4006681,25.93547901163736,-15.1162,10.81927901163736,-22.214295255803467,False,False
1997bq,idgg37020_drz,10,154.2241073,73.4005966,25.93547901163736,-15.0329,10.902579011637359,-22.13099525580347,False,False
1997bq,hst_16234_69_wfc3_ir_f160w_ieel69_drz,11,154.0811036,73.3813527,25.93547901163736,-6.8981,19.03737901163736,-13.996195255803467,False,False
1997bq,idgg3b020_drz,12,154.22425,73.400687,25.93547901163736,-15.0337,10.901779011637359,-22.131795255803468,False,False
1997bq,hst_15145_31_wfc3_ir_f160w_idgg31_drz,13,154.2229907,73.4007164,25.93547901163736,-15.043,10.89247901163736,-22.141095255803467,False,False
1997bq,hst_16234_70_wfc3_ir_f160w_ieel70_drz,14,154.2033973,73.3989531,25.93547901163736,-9.9502,15.985279011637358,-17.048295255803467,False,False
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_coarse-all_drz,15,154.2006842,73.3763609,25.93547901163736,-5.3031,20.632379011637358,-12.401195255803469,False,False
1997bq,hst_15145_35_wfc3_ir_f160w_idgg35_drz,16,154.2230171,73.4007482,25.93547901163736,-15.0531,10.882379011637358,-22.15119525580347,False,False
2005W,hst_15145_0b_wfc3_ir_f160w_idgg0b_drz,17,27.6650786,21.7627499,25.93527784632269,-8.8374,17.09787784632269,-15.81894676022138,False,False
2005W,hst_15145_06_wfc3_ir_f160w_idgg06_drz,18,27.6741157,21.7599586,25.93527784632269,-13.4106,12.52467784632269,-20.39214676022138,False,False
2005W,hst_15145_03_wfc3_ir_f160w_idgg03_drz,19,27.6741172,21.7599733,25.93527784632269,-13.4051,12.530177846322692,-20.386646760221375,False,False
2005W,idgg03020_drz,20,27.6737205,21.7600109,25.93527784632269,-13.4464,12.48887784632269,-20.427946760221378,False,False
2005W,idgg01020_drz,21,27.6736709,21.7601296,25.93527784632269,-13.4669,12.46837784632269,-20.44844676022138,False,False
