,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_4,a_pixels,b_pixels,theta_deg,alpha_deg,PA_deg,theta_rad,pixscale,a_arcsec,b_arcsec
0,1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_17194_13_wfc3_uvis_f625w_iey913/hst_17194_13_wfc3_uvis_f625w_iey913_drc.fits,hst_17194_13_wfc3_uvis_f625w_iey913_drc,2024-11-09,HST,WFC3,F625W,-1.1005555796954e-05,3.18756361593352e-23,-1.2221932956474e-22,1.10055557969543e-05,,,hst_17194_13_wfc3_uvis_f625w_iey913_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,-1.6594704119622281e-16,,,0.03962000086903494,,
1,1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_13691_36_wfc3_ir_f160w_icnw36/hst_13691_36_wfc3_ir_f160w_icnw36_drz.fits,hst_13691_36_wfc3_ir_f160w_icnw36_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,3.94376500712635e-22,9.15176918031901e-23,3.56250007947285e-05,,,hst_13691_36_wfc3_ir_f160w_icnw36_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-6.342767305514188e-16,,,0.1282500028610217,,
2,1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_13691_32_wfc3_ir_f160w_icnw32/hst_13691_32_wfc3_ir_f160w_icnw32_drz.fits,hst_13691_32_wfc3_ir_f160w_icnw32_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.3156585765565e-22,-4.1428506215417e-22,3.56250007947285e-05,,,hst_13691_32_wfc3_ir_f160w_icnw32_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,2.115977039585957e-16,,,0.1282500028610217,,
3,1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_13691_37_wfc3_ir_f110w_icnw37/hst_13691_37_wfc3_ir_f110w_icnw37_drz.fits,hst_13691_37_wfc3_ir_f110w_icnw37_drz,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,1.0749822540498e-22,-5.3455496637474e-23,3.56250007947285e-05,,,hst_13691_37_wfc3_ir_f110w_icnw37_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-1.7288966971090557e-16,,,0.1282500028610217,,
4,1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_11691_03_wfc3_ir_f160w_ib3n03/hst_11691_03_wfc3_ir_f160w_ib3n03_drz.fits,hst_11691_03_wfc3_ir_f160w_ib3n03_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-2.0501255559679e-21,-1.088809022895e-21,3.56250007947285e-05,,,hst_11691_03_wfc3_ir_f160w_ib3n03_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,3.2972221532203704e-15,,,0.1282500028610217,,
5,1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_11691_03_wfc3_ir_f110w_ib3n03/hst_11691_03_wfc3_ir_f110w_ib3n03_drz.fits,hst_11691_03_wfc3_ir_f110w_ib3n03_drz,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,1.4669447051609e-21,1.13593373119443e-21,3.56250007947285e-05,,,hst_11691_03_wfc3_ir_f110w_ib3n03_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-2.359290905537874e-15,,,0.1282500028610217,,
6,1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HLA/hst_11691_03_wfc3_ir_f160w/hst_11691_03_wfc3_ir_f160w_drz.fits,hst_11691_03_wfc3_ir_f160w_drz,2017-08-12,HST,WFC3,F160W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11691_03_wfc3_ir_f160w_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,0.08999999999999801,,
7,1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HLA/hst_11691_03_wfc3_ir_f110w/hst_11691_03_wfc3_ir_f110w_drz.fits,hst_11691_03_wfc3_ir_f110w_drz,2017-08-12,HST,WFC3,F110W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05,,,hst_11691_03_wfc3_ir_f110w_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,0.08999999999999801,,
8,2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_15889_02_wfc3_ir_f125w_ie5402/hst_15889_02_wfc3_ir_f125w_ie5402_drz.fits,hst_15889_02_wfc3_ir_f125w_ie5402_drz,2024-11-09,HST,WFC3,F125W,-3.5625000794728e-05,-3.6661004496609e-23,-4.0072516947061e-23,3.56250007947285e-05,,,hst_15889_02_wfc3_ir_f125w_ie5402_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,5.896198690546126e-17,,,0.1282500028610217,,
9,2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_11570_20_wfc3_ir_f160w_ib1f20/hst_11570_20_wfc3_ir_f160w_ib1f20_drz.fits,hst_11570_20_wfc3_ir_f160w_ib1f20_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-2.0925396355208e-21,-1.0541844606317e-21,3.56250007947285e-05,,,hst_11570_20_wfc3_ir_f160w_ib1f20_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,3.3654368253916315e-15,,,0.1282500028610217,,
