SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o126_t023_nircam_clear-f187n/jw03707-o126_t023_nircam_clear-f187n_i2d.fits,jw03707-o126_t023_nircam_clear-f187n_i2d,2025-05-30T10:56:06.069,JWST,NIRCAM,F187N,,,,
1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o125_t023_miri_f2100w/jw03707-o125_t023_miri_f2100w_i2d.fits,jw03707-o125_t023_miri_f2100w_i2d,2025-05-30T10:50:24.076,JWST,MIRI,F2100W,,,,
1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-c1108_t023_miri_f2100w/jw03707-c1108_t023_miri_f2100w_i2d.fits,jw03707-c1108_t023_miri_f2100w_i2d,2025-05-08T03:54:17.065,JWST,MIRI,F2100W,,,,
1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o126_t023_nircam_clear-f335m/jw03707-o126_t023_nircam_clear-f335m_i2d.fits,jw03707-o126_t023_nircam_clear-f335m_i2d,2025-05-30T07:49:17.227,JWST,NIRCAM,F335M,,,,
1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o126_t023_nircam_clear-f300m/jw03707-o126_t023_nircam_clear-f300m_i2d.fits,jw03707-o126_t023_nircam_clear-f300m_i2d,2025-05-30T10:50:58.732,JWST,NIRCAM,F300M,,,,
1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o125_t023_miri_f770w/jw03707-o125_t023_miri_f770w_i2d.fits,jw03707-o125_t023_miri_f770w_i2d,2025-05-30T10:50:36.466,JWST,MIRI,F770W,,,,
1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-c1108_t023_miri_f770w/jw03707-c1108_t023_miri_f770w_i2d.fits,jw03707-c1108_t023_miri_f770w_i2d,2025-05-08T03:54:21.055,JWST,MIRI,F770W,,,,
1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o126_t023_nircam_clear-f150w/jw03707-o126_t023_nircam_clear-f150w_i2d.fits,jw03707-o126_t023_nircam_clear-f150w_i2d,2025-05-30T10:54:47.688,JWST,NIRCAM,F150W,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch4-medium/jw06138-c1010_t005_miri_ch4-medium_s3d.fits,jw06138-c1010_t005_miri_ch4-medium_s3d,2025-06-14T02:48:15.861,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch4-medium/jw06138-c1010_t005_miri_ch4-medium_x1d.fits,jw06138-c1010_t005_miri_ch4-medium_x1d,2025-06-14T02:50:36.824,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch2-long/jw06138-c1010_t005_miri_ch2-long_s3d.fits,jw06138-c1010_t005_miri_ch2-long_s3d,2025-06-14T02:48:13.832,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch2-long/jw06138-c1010_t005_miri_ch2-long_x1d.fits,jw06138-c1010_t005_miri_ch2-long_x1d,2025-06-14T02:50:36.254,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch2-medium/jw06138-o005_t005_miri_ch2-medium_s3d.fits,jw06138-o005_t005_miri_ch2-medium_s3d,2025-03-21T21:16:07.253,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch2-medium/jw06138-o005_t005_miri_ch2-medium_x1d.fits,jw06138-o005_t005_miri_ch2-medium_x1d,2025-03-21T21:17:49.034,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch1-short/jw06138-o005_t005_miri_ch1-short_s3d.fits,jw06138-o005_t005_miri_ch1-short_s3d,2025-03-21T21:16:05.622,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch1-short/jw06138-o005_t005_miri_ch1-short_x1d.fits,jw06138-o005_t005_miri_ch1-short_x1d,2025-03-21T21:17:48.742,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch1-medium/jw06138-o005_t005_miri_ch1-medium_s3d.fits,jw06138-o005_t005_miri_ch1-medium_s3d,2025-03-21T21:16:06.024,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch1-medium/jw06138-o005_t005_miri_ch1-medium_x1d.fits,jw06138-o005_t005_miri_ch1-medium_x1d,2025-03-21T21:17:48.814,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch2-short/jw06138-c1010_t005_miri_ch2-short_x1d.fits,jw06138-c1010_t005_miri_ch2-short_x1d,2025-06-14T02:50:36.063,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch2-short/jw06138-c1010_t005_miri_ch2-short_s3d.fits,jw06138-c1010_t005_miri_ch2-short_s3d,2025-06-14T02:48:13.011,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-c1007_t007_miri_f2100w/jw02107-c1007_t007_miri_f2100w_i2d.fits,jw02107-c1007_t007_miri_f2100w_i2d,2025-03-25T22:57:22.636,JWST,MIRI,F2100W,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o025_t007_nircam_clear-f360m/jw02107-o025_t007_nircam_clear-f360m_i2d.fits,jw02107-o025_t007_nircam_clear-f360m_i2d,2025-05-29T18:48:22.164,JWST,NIRCAM,F360M,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o025_t007_nircam_clear-f200w/jw02107-o025_t007_nircam_clear-f200w_i2d.fits,jw02107-o025_t007_nircam_clear-f200w_i2d,2025-05-29T19:53:15.896,JWST,NIRCAM,F200W,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch1-long/jw06138-c1010_t005_miri_ch1-long_x1d.fits,jw06138-c1010_t005_miri_ch1-long_x1d,2025-06-14T02:50:35.964,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch1-long/jw06138-c1010_t005_miri_ch1-long_s3d.fits,jw06138-c1010_t005_miri_ch1-long_s3d,2025-06-14T02:48:12.472,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch1-long/jw06138-o005_t005_miri_ch1-long_s3d.fits,jw06138-o005_t005_miri_ch1-long_s3d,2025-03-21T21:16:06.434,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch1-long/jw06138-o005_t005_miri_ch1-long_x1d.fits,jw06138-o005_t005_miri_ch1-long_x1d,2025-03-21T21:17:48.891,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o025_t007_nircam_clear-f335m/jw02107-o025_t007_nircam_clear-f335m_i2d.fits,jw02107-o025_t007_nircam_clear-f335m_i2d,2025-05-29T18:45:04.797,JWST,NIRCAM,F335M,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch1-medium/jw06138-c1010_t005_miri_ch1-medium_x1d.fits,jw06138-c1010_t005_miri_ch1-medium_x1d,2025-06-14T02:50:35.873,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch1-medium/jw06138-c1010_t005_miri_ch1-medium_s3d.fits,jw06138-c1010_t005_miri_ch1-medium_s3d,2025-06-14T02:48:11.985,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch4-long/jw06138-c1010_t005_miri_ch4-long_s3d.fits,jw06138-c1010_t005_miri_ch4-long_s3d,2025-06-14T02:48:16.153,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch4-long/jw06138-c1010_t005_miri_ch4-long_x1d.fits,jw06138-c1010_t005_miri_ch4-long_x1d,2025-06-14T02:50:36.924,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch4-long/jw06138-o005_t005_miri_ch4-long_s3d.fits,jw06138-o005_t005_miri_ch4-long_s3d,2025-03-21T21:16:09.668,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch4-long/jw06138-o005_t005_miri_ch4-long_x1d.fits,jw06138-o005_t005_miri_ch4-long_x1d,2025-03-21T21:17:49.550,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06023-o001_t001_miri_f1800w/jw06023-o001_t001_miri_f1800w_i2d.fits,jw06023-o001_t001_miri_f1800w_i2d,2025-06-19T14:08:06.793,JWST,MIRI,F1800W,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch4-short/jw06138-o005_t005_miri_ch4-short_x1d.fits,jw06138-o005_t005_miri_ch4-short_x1d,2025-03-21T21:17:49.415,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch4-short/jw06138-o005_t005_miri_ch4-short_s3d.fits,jw06138-o005_t005_miri_ch4-short_s3d,2025-03-21T21:16:09.169,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o025_t007_nircam_clear-f300m/jw02107-o025_t007_nircam_clear-f300m_i2d.fits,jw02107-o025_t007_nircam_clear-f300m_i2d,2025-05-29T18:44:50.451,JWST,NIRCAM,F300M,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch3-medium/jw06138-o005_t005_miri_ch3-medium_x1d.fits,jw06138-o005_t005_miri_ch3-medium_x1d,2025-03-21T21:17:49.275,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch3-medium/jw06138-o005_t005_miri_ch3-medium_s3d.fits,jw06138-o005_t005_miri_ch3-medium_s3d,2025-03-21T21:16:08.402,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06023-o001_t001_miri_f2100w/jw06023-o001_t001_miri_f2100w_i2d.fits,jw06023-o001_t001_miri_f2100w_i2d,2025-06-19T14:08:05.455,JWST,MIRI,F2100W,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch3-medium/jw06138-c1010_t005_miri_ch3-medium_x1d.fits,jw06138-c1010_t005_miri_ch3-medium_x1d,2025-06-14T02:50:36.482,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch3-medium/jw06138-c1010_t005_miri_ch3-medium_s3d.fits,jw06138-c1010_t005_miri_ch3-medium_s3d,2025-06-14T02:48:14.706,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch4-medium/jw06138-o005_t005_miri_ch4-medium_x1d.fits,jw06138-o005_t005_miri_ch4-medium_x1d,2025-03-21T21:17:49.483,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch4-medium/jw06138-o005_t005_miri_ch4-medium_s3d.fits,jw06138-o005_t005_miri_ch4-medium_s3d,2025-03-21T21:16:09.423,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o007_t007_miri_f1130w/jw02107-o007_t007_miri_f1130w_i2d.fits,jw02107-o007_t007_miri_f1130w_i2d,2025-05-29T19:36:21.402,JWST,MIRI,F1130W,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch4-short/jw06138-c1010_t005_miri_ch4-short_x1d.fits,jw06138-c1010_t005_miri_ch4-short_x1d,2025-06-14T02:50:36.720,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch4-short/jw06138-c1010_t005_miri_ch4-short_s3d.fits,jw06138-c1010_t005_miri_ch4-short_s3d,2025-06-14T02:48:15.572,JWST,MIRI,,,,,
2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06023-o001_t001_miri_f2550w/jw06023-o001_t001_miri_f2550w_i2d.fits,jw06023-o001_t001_miri_f2550w_i2d,2025-06-19T14:08:41.490,JWST,MIRI,F2550W,,,,
