,index,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad,On_Image
0,0,1981D,/astro/armin/bhoomika/pantheon_data_folder/1981D/mastDownload/HST/hst_17194_13_wfc3_uvis_f625w_iey913/hst_17194_13_wfc3_uvis_f625w_iey913_drc.fits,hst_17194_13_wfc3_uvis_f625w_iey913_drc,2024-11-09,HST,WFC3,F625W,-1.1e-05,3.19e-23,-1.22e-22,1.1e-05,B,F,True
1,9,2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_11570_20_wfc3_ir_f160w_ib1f20/hst_11570_20_wfc3_ir_f160w_ib1f20_drz.fits,hst_11570_20_wfc3_ir_f160w_ib1f20_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,-2.0900000000000002e-21,-1.05e-21,3.56e-05,B,F,True
2,11,2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_12913_01_wfc3_uvis_f625w_ibzy01/hst_12913_01_wfc3_uvis_f625w_ibzy01_drc.fits,hst_12913_01_wfc3_uvis_f625w_ibzy01_drc,2024-11-09,HST,WFC3,F625W,-1.1e-05,-2.2700000000000003e-22,-1.9300000000000001e-22,1.1e-05,B,F,True
3,13,2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HST/hst_13360_01_wfc3_uvis_f625w_icb401/hst_13360_01_wfc3_uvis_f625w_icb401_drc.fits,hst_13360_01_wfc3_uvis_f625w_icb401_drc,2024-11-09,HST,WFC3,F625W,-1.1e-05,-1.44e-22,-1.42e-22,1.1e-05,B,F,True
4,15,2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HLA/hst_12913_01_wfc3_uvis_f625w/hst_12913_01_wfc3_uvis_f625w_drz.fits,hst_12913_01_wfc3_uvis_f625w_drz,2017-08-16,HST,WFC3,F625W,-1.1e-05,5.76e-36,-2.35e-38,1.1e-05,B,F,True
5,16,2012Z,/astro/armin/bhoomika/pantheon_data_folder/2012Z/mastDownload/HLA/hst_11570_20_wfc3_ir_f160w/hst_11570_20_wfc3_ir_f160w_drz.fits,hst_11570_20_wfc3_ir_f160w_drz,2017-08-21,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,B,F,True
6,17,ASASSN-16ip,/astro/armin/bhoomika/pantheon_data_folder/ASASSN-16ip/mastDownload/HST/hst_17446_06_wfc3_ir_f110w_if7r06/hst_17446_06_wfc3_ir_f110w_if7r06_drz.fits,hst_17446_06_wfc3_ir_f110w_if7r06_drz,2024-11-09,HST,WFC3,F110W,-3.56e-05,9.7e-22,2.0200000000000003e-21,3.56e-05,B,F,True
7,18,ASASSN-16ip,/astro/armin/bhoomika/pantheon_data_folder/ASASSN-16ip/mastDownload/HST/hst_17446_30_wfc3_ir_f110w_if7r30/hst_17446_30_wfc3_ir_f110w_if7r30_drz.fits,hst_17446_30_wfc3_ir_f110w_if7r30_drz,2024-11-09,HST,WFC3,F110W,-3.56e-05,2.3400000000000003e-21,3.9200000000000006e-21,3.56e-05,B,T,True
8,19,carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12461_c2_wfc3_ir_f160w_ibwjc2/hst_12461_c2_wfc3_ir_f160w_ibwjc2_drz.fits,hst_12461_c2_wfc3_ir_f160w_ibwjc2_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,2.1599999999999998e-23,-9.639999999999999e-24,3.56e-05,P,T,True
9,20,carter,/astro/armin/bhoomika/pantheon_data_folder/carter/mastDownload/HST/hst_12440_54_wfc3_ir_f125w_iboa54/hst_12440_54_wfc3_ir_f125w_iboa54_drz.fits,hst_12440_54_wfc3_ir_f125w_iboa54_drz,2024-11-09,HST,WFC3,F125W,-3.56e-05,-5.0099999999999997e-23,2.28e-22,3.56e-05,P,T,True
