SNID,IAUC,host,RA,Dec,RA_host,Dec_host,zhel,zcmb,zhelerr,zHD,zHDerr,PV,vpecerr,RA_group,Dec_group,zhel_group,zcmb_group,zHD_group,PV_group,in_group,has_host,is_SNz
2001ah,2001ah,UGC 06211,167.62425,55.16083,167.62646,55.16983,0.057763,0.058373,1.50E-05,0.05886,0.00088,-138,250,,,,,,,0,1,0
2001az,2001az,UGC 10483,248.61546,76.02967,248.62017,76.02972,0.040695,0.040593,9.00E-05,0.04101,0.00087,-121,250,,,,,,,0,1,0
2001da,2001da,NGC 7780,358.38658,8.11739,358.38404,8.11814,0.017381,0.016148,7.00E-06,0.01659,0.00085,-129,250,358.40451,7.930666,0.017816,0.016583,0.01702,-176,1,1,0
2001en,2001en,NGC 0523,21.34542,34.02514,21.33637,34.02494,0.015881,0.014937,7.00E-06,0.01509,0.00085,-46,250,21.041921,33.581505,0.016294,0.015343,0.0155,-46,1,1,0
2001fe,2001fe,UGC 05129,144.48792,25.49481,144.49167,25.49478,0.013514,0.014478,8.00E-06,0.01467,0.00085,-57,250,,,,,,,0,1,0
2001gb,2001gb,IC 0582,149.754,17.82011,149.75096,17.81714,0.025439,0.026529,1.10E-05,0.0265,0.00086,9,250,,,,,,,0,1,0
2001G,2001G,MCG +08-17-043,137.38825,50.28092,137.38721,50.28186,0.016703,0.017272,1.10E-05,0.0177,0.00085,-127,250,,,,,,,0,1,0
2001ic,2001ic,NGC 7503,347.68058,7.56956,347.67617,7.56769,0.044089,0.042802,9.00E-06,0.0439,0.00087,-317,250,,,,,,,0,1,0
2001V,2001V,NGC 3987,179.35388,25.2025,179.33717,25.19539,0.015007,0.016045,0.000904,0.0157,0.00124,102,250,179.51456,25.171888,0.014883,0.01592,0.01557,102,1,1,0
2002bf,2002bf,CGCG 266-031,153.92629,55.66853,153.92604,55.66747,0.024376,0.024936,7.00E-06,0.02525,0.00085,-92,250,,,,,,,0,1,0
2002bz,2002bz,CGCG 163-041,216.16883,26.62631,216.16888,26.62517,0.037128,0.037813,9.00E-06,0.03827,0.00087,-131,250,,,,,,,0,1,0
2002ck,2002ck,UGC 10030,236.75312,-0.99042,236.75175,-0.98514,0.029742,0.030198,1.10E-05,0.02987,0.00086,95,250,,,,,,,0,1,0
2002cr,2002cr,NGC 5468,211.65662,-5.43942,211.64537,-5.45311,0.009417,0.010319,0.000193,0.01015,0.00086,51,250,210.948768,-5.97368,0.009062,0.009975,0.0098,130,1,1,0
2002de,2002de,NGC 6104,244.12658,35.70839,244.12787,35.70806,0.027894,0.028046,1.30E-05,0.02651,0.00086,448,250,244.293621,35.027778,0.030344,0.030497,0.02896,290,1,1,0
2002dj,2002dj,NGC 5018,198.25142,-19.519,198.25429,-19.51819,0.00937,0.010426,0.000233,0.00948,0.00087,281,250,198.217887,-19.510463,0.009456,0.010512,0.00957,281,1,1,0
2002dp,2002dp,NGC 7678,352.12667,22.42889,352.11625,22.42119,0.01169,0.010491,7.00E-06,0.01061,0.00084,-34,250,,,,,,,0,1,0
2002eu,2002eu,2MASX J01494273+3237303,27.43167,32.62861,27.428,32.62517,0.037626,0.036718,0.000334,0.0379,0.00093,-343,250,,,,,,,0,1,0
2002fk,2002fk,NGC 1309,50.52379,-15.40089,50.52733,-15.40006,0.007185,0.00668,0.00015,0.00719,0.00085,-153,250,,,,,,,0,1,0
