RA,Dec,SNID,has_f1
211.65662,-5.43942,2002cr,True
244.12658,35.70839,2002de,True
198.25142,-19.519,2002dj,True
352.12667,22.42889,2002dp,True
50.52379,-15.40089,2002fk,True
311.82742,0.31267,2002ha,True
218.64917,59.33439,2003du,True
154.52712,21.82825,2002bo,True
153.56654,3.46736,2003cg,True
205.26854,67.67231,2005dv,True
53.76812,-24.94411,2005ke,True
195.18075,27.96161,2006bz,True
185.72496,15.80919,2006X,True
107.94212,49.85372,2007au,True
144.38483,23.20075,2005M,True
154.23867,73.41011,2008fv,True
154.27221,73.38392,1997bq,True
194.85012,27.99642,2010ai,True
29.45375,36.34064,2002fb,True
230.38421,-7.41319,2005cf,True
49.95783,41.50517,2005mz,True
160.11758,9.20233,2005ki,True
193.14142,-9.77522,2006D,True
31.08129,-8.72839,2006ef,True
55.46033,8.15694,2006kf,True
215.58762,-0.39378,2007af,True
195.81283,50.61881,2007F,True
180.47,-18.97278,2007sr,True
181.01208,20.24517,2008bf,True
49.31937,41.38267,2008L,True
207.50137,-30.57617,2005al,True
27.69062,21.75989,2005W,True
340.06708,-66.48508,2006bh,True
50.67342,-37.20361,2006dd,True
50.6785,-37.20792,2006mr,True
6.31942,12.88681,2007A,True
185.72496,15.80919,2001ah,True
107.94212,49.85372,2001az,True
144.38483,23.20075,2002dj,True
154.23867,73.41011,2002fk,True
154.27221,73.38392,2002G,True
194.85012,27.99642,2002ha,True
29.45375,36.34064,2002he,True
230.38421,-7.41319,2001gc,True
49.95783,41.50517,2002ar,True
160.11758,9.20233,2002cd,True
193.14142,-9.77522,2006al,True
31.08129,-8.72839,2006bk,True
55.46033,8.15694,2006cm,True
215.58762,-0.39378,2006or,True
195.81283,50.61881,2005be,True
180.47,-18.97278,2005M,True
181.01208,20.24517,2009dc,True
49.31937,41.38267,2008fv,True
207.50137,-30.57617,2003it,True
27.69062,21.75989,2003U,True
340.06708,-66.48508,2003W,True
50.67342,-37.20361,2004bg,True
50.6785,-37.20792,2004L,True
6.31942,12.88681,2005am,True
144.63012,-63.97378,2005eu,True
14.38987,-1.38861,2005mz,True
54.7125,-35.57531,2006ak,True
132.64646,-61.27794,2006bw,True
45.97375,-11.99428,2006cz,True
109.13583,-29.32547,2006ef,True
136.89192,3.39225,2006ot,True
32.32142,-23.41244,2007ae,True
220.59937,-17.24678,2007al,True
214.49353,52.48268,2007ai,True
186.80346,9.42033,2007ba,True
210.77421,54.27372,2007bd,True
178.93962,55.32556,2007co,True
36.37342,41.84308,2008af,True
247.17137,39.55347,2004gc,True
39.54837,-1.31253,2004gs,True
334.57333,40.56933,2008ar,True
310.97321,12.51436,2008C,True
148.92558,69.67389,2007ux,True
227.31171,-11.33422,2008gg,True
177.75754,-28.74408,2008O,True
121.39421,-11.43786,2008R,True
218.14342,-44.13409,2008fl,True
242.12695,53.68532,2008gl,True
150.1925,2.55125,2009cz,True
50.65992,-37.23272,2009D,True
201.4019,-43.03157,2009F,True
190.73617,13.25649,2009P,True
54.11421,-34.95872,2011by,True
20.49246,-34.212,2009fv,True
188.51,7.70158,2011M,True
179.10779,55.12867,2012E,True
161.69179,11.83531,2012gl,True
211.63042,-5.44694,2013dy,True
334.04167,-36.84436,2013fw,True
309.30737,66.09728,2014ai,True
56.1275,-44.63983,2017dws,True
24.57242,35.37047,1990af,True
150.3696,1.86283,1992bp,True
149.88395,1.82792,1992bs,True
214.34027,52.45282,1992G,True
215.07752,52.89716,1992J,True
162.76646,65.77972,1998bu,True
161.75808,17.27522,1999da,True
341.39225,-8.75131,2000ca,True
147.73321,33.55261,2001ba,True
145.22812,5.14061,2001cn,True
197.74221,37.05983,2002cx,True
191.72396,-11.6425,2007cf,True
212.49067,17.54231,2007cs,True
6.32196,12.88506,2007ev,True
101.90875,74.4975,2007if,True
348.66796,4.53725,2007ob,True
187.98338,14.42647,2008ai,True
38.49867,20.97511,2008bw,True
20.73908,33.46611,2008cm,True
129.60254,25.75919,2008ds,True
106.41971,50.58625,2008Q,True
21.19229,9.50858,2009gf,True
16.848,32.40644,2009jr,True
35.49992,33.27047,06D3fp,True
253.24013,2.39347,2010dt,True
64.40771,-62.76931,2010Y,True
159.43917,-27.0825,1993ac,True
180.34758,61.89272,1993ae,True
195.05962,27.95456,1994ae,True
345.819,8.87217,1994M,True
64.99512,-54.94403,1994T,True
253.23912,2.38789,1995ak,True
351.98129,8.77936,1997bp,True
54.71396,-35.59222,1997cn,True
53.39996,-36.12714,1997cw,True
175.066,17.45617,1997do,True
50.52229,-15.38767,1997E,True
218.14117,-44.22439,1997Y,True
232.50454,12.98692,1998D,True
186.12908,75.53572,1999ac,True
57.08242,70.13181,1999cl,True
185.48987,4.47181,1999cw,True
226.37529,1.634,1999gd,True
114.06567,-69.50639,1999gh,True
163.34479,16.77636,2000cf,True
128.82858,28.46828,2000cn,True
157.34158,29.51064,2000cx,True
193.63042,-6.85689,PTF10icb,True
281.74983,45.70547,2005df,True
334.87,29.38458,2008ge,True
46.03883,-26.08542,2010jn,True
174.92575,31.90883,2011aa,True
209.27021,41.84494,2011hb,True
208.37129,40.27537,2013hh,True
56.125875,-44.632569,2013hn,True
154.160917,73.4005,2013Q,True
212.47967,17.53208,2014at,True
168.546361,48.318662,16894,True
49.838781,41.490499,17811,True
36.840692,-23.928681,19211,True
5.34608,22.43544,2016afk,True
130.204442,73.487541,ASASSN-15kx,True
55.910069,46.159035,ASASSN-15sb,True
44.391886,5.978214,ASASSN-15sf,True
16.834613,32.399736,AT2017zd,True
195.134651,27.978087,ATLAS16dod,True
247.159664,39.548911,ATLAS16dqf,True
310.971623,12.508491,ATLAS16dtf,True
49.977127,41.565021,ATLAS17bas,True
182.028154,65.177235,Gaia16agf,True
274.898308,23.786189,Gaia17bci,True
263.108557,7.063238,PS15bsq,True
189.354417,62.221528,PS15cwx,True
53.156333,-27.779611,PS15cze,True
189.288167,62.191389,PS15dpl,True
189.336458,62.228194,PS15mt,True
189.451417,62.226472,PS15zn,True
189.104583,62.256622,PS16aer,True
53.093083,-27.740806,PS16amf,True
189.057625,62.2021,PS16axi,True
53.089542,-27.782861,PS16ayd,True
188.9215,62.193664,PS16bby,True
53.184708,-27.918444,PS16bnz,True
189.0955,62.306444,PS16ccn,True
189.236333,62.214814,PS16cqa,True
189.145042,62.263628,PS16cvc,True
189.31325,62.226278,PS16dnp,True
53.04175,-27.83055,PS16drf,True
189.368125,62.344444,PS16ejh,True
53.105583,-27.750836,PS16el,True
189.108208,62.115444,PS16eqv,True
53.075625,-27.736264,PS16evk,True
189.230792,62.219972,PS16ez,True
189.225458,62.139656,PS16fa,True
35.425275,-3.364756,PS16fbb,True
35.443683,-3.382272,PS16n,True
187.356896,1.849053,PS17akj,True
217.3281,34.643719,PS17bii,True
218.625583,34.44925,PS17cjo,True
219.534858,34.238356,PS17ckg,True
356.372625,-36.546042,PS17yt,True
189.277208,62.25325,PSNJ0107203,True
189.085958,62.180717,PSNJ0153424,True
189.229875,62.217792,PSNJ0252467,True
53.103292,-27.771611,PSNJ0309425,True
189.370833,62.191056,PSNJ0717457,True
189.143042,62.203597,PSNJ0859349,True
189.2807,62.174123,PSNJ1204051,True
150.06136,2.192381,PSNJ1300323,True
189.15659,62.309172,PSNJ1602512,True
189.170025,62.187267,PSNJ1628383,True
322.349552,0.140211,PSNJ2043531,True
189.172304,62.191767,PSNJ2310226,True
53.158375,-27.777527,PSNJ2352371,True
215.200442,53.072811,PTSS-16efw,True
189.31989,62.278179,PTSS17-niq,True
324.94182,-23.64297,SN2016ajf,True
322.4275,-7.696583,SN2016aqa,True
53.0869,-27.82819,SN2016aqb,True
