SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Mag,Mag_Error,Flux,Flux_Error,CXX_IMAGE,CYY_IMAGE,CXY_IMAGE
2005am,iedh14020_drz,1,6.3181261,12.8949658,-42.4,52.387,19.044,-9.7606,0.0005,8021.52,3.495702,0.0014524728,0.0016693386,0.0023832035
2005am,hst_skycell-p1592x19y06_wfc3_ir_f160w_coarse-all_drz,2,6.324759,12.8637245,52.8,5.846,4.232,-4.2906,0.006,52.0288,0.289281,0.046117868,0.038974207,-0.025597002
2005am,iedh18020_drz,3,6.3197821,12.8837441,-27.94,68.459,51.412,-12.9614,0.0001,152958.8,7.14087,0.00024958164,0.00034212155,0.000136558
2005am,hst_16269_14_wfc3_ir_f160w_iedh14_drz,4,6.3289381,12.8621036,-60.56,5.185,4.153,-6.3015,0.0017,331.6019,0.5102941,0.052964509,0.042223807,0.017796386
2005am,iedh22020_drz,5,6.318154,12.8949138,-42.42,52.245,18.586,-9.7939,0.0006,8271.254,4.790266,0.0015167445,0.0017445709,0.0025183081
2005am,iedh16020_drz,6,6.3181354,12.8949483,-42.45,52.052,18.778,-9.7582,0.0005,8003.673,3.584413,0.0014927714,0.0017122822,0.0024570883
2005am,iedh20020_drz,7,24.5643978,35.3536587,-10.16,4.55,4.152,-11.9688,0.0,61306.27,0.4674685,0.048595537,0.057706323,0.0033727346
2005am,iedh12020_drz,8,6.3181599,12.8948814,-42.38,52.791,18.984,-9.7879,0.0005,8225.095,3.48338,0.0014564922,0.0016769632,0.0024057331
2005am,hst_16269_20_wfc3_ir_f160w_iedh20_drz,9,6.3289282,12.8620989,-54.54,5.738,4.07,-6.3031,0.0021,332.0662,0.6486329,0.050276492,0.040469293,0.028350679
2005am,hst_16269_22_wfc3_ir_f160w_iedh22_drz,10,6.3247612,12.8637189,49.23,4.89,3.477,-4.2172,0.0165,48.62618,0.7406334,0.06527961,0.059264731,-0.040446352
2005am,hst_skycell-p1592x19y06_wfc3_ir_f160w_all_drz,11,6.3247623,12.8637183,51.22,15.688,11.27,-4.1732,0.0025,46.69554,0.1081349,0.0063785235,0.0055574919,-0.0037202055
2005am,hst_16269_16_wfc3_ir_f160w_iedh16_drz,12,6.328928,12.8621195,-45.28,4.957,4.07,-6.2919,0.0017,328.6736,0.5153541,0.050626107,0.050432358,0.019675435
