SNID,File_key,Galaxy_key,Galaxy_RA,Galaxy_Dec,Zeropoint,Instrumental_Mag,Apparent_Magnitude,Absolute_Magnitude,Flag_mag,Flag_instrum
2005W,hst_15145_0b_wfc3_ir_f160w_idgg0b_drz,1,27.6650786,21.7627499,25.93527784632269,-8.8374,17.09787784632269,-15.81894676022138,False,False
2005W,hst_15145_0b_wfc3_ir_f160w_idgg0b_drz,1,27.6650786,21.7627499,25.93545511355029,-8.8374,17.098055113550288,-15.81876949299378,False,False
2005W,hst_15145_0b_wfc3_ir_f160w_idgg0b_drz,1,27.6650786,21.7627499,25.93542064769064,-8.8374,17.09802064769064,-15.81880395885343,False,False
2005W,hst_15145_0b_wfc3_ir_f160w_idgg0b_drz,1,27.6650786,21.7627499,25.93536454541119,-8.8374,17.097964545411187,-15.818860061132881,False,False
2005W,hst_15145_06_wfc3_ir_f160w_idgg06_drz,2,27.6741157,21.7599586,25.93527784632269,-13.4106,12.52467784632269,-20.39214676022138,False,False
2005W,hst_15145_06_wfc3_ir_f160w_idgg06_drz,2,27.6741157,21.7599586,25.93545511355029,-13.4106,12.52485511355029,-20.39196949299378,False,False
2005W,hst_15145_06_wfc3_ir_f160w_idgg06_drz,2,27.6741157,21.7599586,25.93542064769064,-13.4106,12.52482064769064,-20.39200395885343,False,False
2005W,hst_15145_06_wfc3_ir_f160w_idgg06_drz,2,27.6741157,21.7599586,25.93536454541119,-13.4106,12.52476454541119,-20.39206006113288,False,False
2005W,hst_15145_03_wfc3_ir_f160w_idgg03_drz,3,27.6741172,21.7599733,25.93527784632269,-13.4051,12.530177846322692,-20.386646760221375,False,False
2005W,hst_15145_03_wfc3_ir_f160w_idgg03_drz,3,27.6741172,21.7599733,25.93545511355029,-13.4051,12.530355113550291,-20.386469492993776,False,False
2005W,hst_15145_03_wfc3_ir_f160w_idgg03_drz,3,27.6741172,21.7599733,25.93542064769064,-13.4051,12.530320647690642,-20.386503958853424,False,False
2005W,hst_15145_03_wfc3_ir_f160w_idgg03_drz,3,27.6741172,21.7599733,25.93536454541119,-13.4051,12.53026454541119,-20.386560061132876,False,False
2005W,idgg03020_drz,4,27.6737205,21.7600109,25.93527784632269,-13.4464,12.48887784632269,-20.427946760221378,False,False
2005W,idgg03020_drz,4,27.6737205,21.7600109,25.93545511355029,-13.4464,12.48905511355029,-20.42776949299378,False,False
2005W,idgg03020_drz,4,27.6737205,21.7600109,25.93542064769064,-13.4464,12.48902064769064,-20.427803958853428,False,False
2005W,idgg03020_drz,4,27.6737205,21.7600109,25.93536454541119,-13.4464,12.48896454541119,-20.42786006113288,False,False
2005W,idgg01020_drz,5,27.6736709,21.7601296,25.93527784632269,-13.4669,12.46837784632269,-20.44844676022138,False,False
2005W,idgg01020_drz,5,27.6736709,21.7601296,25.93545511355029,-13.4669,12.46855511355029,-20.44826949299378,False,False
2005W,idgg01020_drz,5,27.6736709,21.7601296,25.93542064769064,-13.4669,12.46852064769064,-20.44830395885343,False,False
2005W,idgg01020_drz,5,27.6736709,21.7601296,25.93536454541119,-13.4669,12.468464545411189,-20.44836006113288,False,False
2005W,hst_15145_01_wfc3_ir_f160w_idgg01_drz,6,27.6738928,21.7600726,25.93527784632269,-13.3681,12.567177846322691,-20.349646760221376,False,False
2005W,hst_15145_01_wfc3_ir_f160w_idgg01_drz,6,27.6738928,21.7600726,25.93545511355029,-13.3681,12.56735511355029,-20.349469492993776,False,False
2005W,hst_15145_01_wfc3_ir_f160w_idgg01_drz,6,27.6738928,21.7600726,25.93542064769064,-13.3681,12.567320647690641,-20.349503958853425,False,False
2005W,hst_15145_01_wfc3_ir_f160w_idgg01_drz,6,27.6738928,21.7600726,25.93536454541119,-13.3681,12.56726454541119,-20.349560061132877,False,False
2005W,idgg06020_drz,7,27.6737091,21.7599723,25.93527784632269,-13.4471,12.48817784632269,-20.428646760221376,False,False
2005W,idgg06020_drz,7,27.6737091,21.7599723,25.93545511355029,-13.4471,12.48835511355029,-20.428469492993777,False,False
2005W,idgg06020_drz,7,27.6737091,21.7599723,25.93542064769064,-13.4471,12.48832064769064,-20.428503958853426,False,False
2005W,idgg06020_drz,7,27.6737091,21.7599723,25.93536454541119,-13.4471,12.48826454541119,-20.428560061132877,False,False
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_all_drz,8,27.6755551,21.7365459,25.93527784632269,-2.7619,23.17337784632269,-9.743446760221378,True,False
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_all_drz,8,27.6755551,21.7365459,25.93545511355029,-2.7619,23.17355511355029,-9.743269492993779,True,False
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_all_drz,8,27.6755551,21.7365459,25.93542064769064,-2.7619,23.17352064769064,-9.743303958853428,True,False
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_all_drz,8,27.6755551,21.7365459,25.93536454541119,-2.7619,23.17346454541119,-9.74336006113288,True,False
2005W,idgg0b020_drz,9,27.6737077,21.7601722,25.93527784632269,-13.4658,12.469477846322691,-20.44734676022138,False,False
2005W,idgg0b020_drz,9,27.6737077,21.7601722,25.93545511355029,-13.4658,12.46965511355029,-20.44716949299378,False,False
2005W,idgg0b020_drz,9,27.6737077,21.7601722,25.93542064769064,-13.4658,12.469620647690641,-20.44720395885343,False,False
2005W,idgg0b020_drz,9,27.6737077,21.7601722,25.93536454541119,-13.4658,12.46956454541119,-20.44726006113288,False,False
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_coarse-all_drz,10,27.6759905,21.734996,25.93527784632269,-5.0711,20.86417784632269,-12.052646760221378,False,False
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_coarse-all_drz,10,27.6759905,21.734996,25.93545511355029,-5.0711,20.86435511355029,-12.05246949299378,False,False
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_coarse-all_drz,10,27.6759905,21.734996,25.93542064769064,-5.0711,20.86432064769064,-12.052503958853428,False,False
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_coarse-all_drz,10,27.6759905,21.734996,25.93536454541119,-5.0711,20.86426454541119,-12.05256006113288,False,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_coarse-all_drz,11,185.7209775,15.8045306,25.932537326506313,-7.8461,18.086437326506314,-13.686919266068976,False,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_coarse-all_drz,11,185.7209775,15.8045306,25.933810922828947,-7.8461,18.087710922828947,-13.685645669746343,False,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_coarse-all_drz,11,185.7209775,15.8045306,26.808004458603335,-7.8461,18.961904458603335,-12.811452133971954,False,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_coarse-all_drz,11,185.7209775,15.8045306,25.93315082095866,-7.8461,18.08705082095866,-13.686305771616631,False,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_coarse-all_drz,11,185.7209775,15.8045306,25.93530158715996,-7.8461,18.08920158715996,-13.684155005415331,False,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_coarse-all_drz,12,185.8160198,15.7961322,25.932537326506313,-2.7456,23.186937326506314,-8.586419266068976,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_coarse-all_drz,12,185.8160198,15.7961322,25.933810922828947,-2.7456,23.188210922828947,-8.585145669746343,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_coarse-all_drz,12,185.8160198,15.7961322,26.808004458603335,-2.7456,24.062404458603336,-7.710952133971954,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_coarse-all_drz,12,185.8160198,15.7961322,25.93315082095866,-2.7456,23.18755082095866,-8.58580577161663,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_coarse-all_drz,12,185.8160198,15.7961322,25.93530158715996,-2.7456,23.18970158715996,-8.58365500541533,True,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_coarse-all_drz,13,185.7287881,15.8222918,25.932537326506313,-15.3815,10.551037326506313,-21.22231926606898,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_coarse-all_drz,13,185.7287881,15.8222918,25.933810922828947,-15.3815,10.552310922828946,-21.221045669746346,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_coarse-all_drz,13,185.7287881,15.8222918,26.808004458603335,-15.3815,11.426504458603334,-20.346852133971957,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_coarse-all_drz,13,185.7287881,15.8222918,25.93315082095866,-15.3815,10.551650820958658,-21.221705771616634,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_coarse-all_drz,13,185.7287881,15.8222918,25.93530158715996,-15.3815,10.553801587159958,-21.21955500541533,False,False
2006X,hst_16075_01_wfc3_ir_f160w_ie9801_drz,14,185.7288239,15.8223461,25.932537326506313,-14.954,10.978537326506313,-20.794819266068977,False,False
2006X,hst_16075_01_wfc3_ir_f160w_ie9801_drz,14,185.7288239,15.8223461,25.933810922828947,-14.954,10.979810922828946,-20.793545669746344,False,False
2006X,hst_16075_01_wfc3_ir_f160w_ie9801_drz,14,185.7288239,15.8223461,26.808004458603335,-14.954,11.854004458603335,-19.919352133971955,False,False
2006X,hst_16075_01_wfc3_ir_f160w_ie9801_drz,14,185.7288239,15.8223461,25.93315082095866,-14.954,10.979150820958658,-20.79420577161663,False,False
2006X,hst_16075_01_wfc3_ir_f160w_ie9801_drz,14,185.7288239,15.8223461,25.93530158715996,-14.954,10.981301587159958,-20.79205500541533,False,False
2006X,hst_16075_01_wfc3_ir_f110w_ie9801_drz,15,185.7287693,15.8223383,25.932537326506313,-15.5041,10.428437326506314,-21.344919266068977,False,False
2006X,hst_16075_01_wfc3_ir_f110w_ie9801_drz,15,185.7287693,15.8223383,25.933810922828947,-15.5041,10.429710922828948,-21.343645669746344,False,False
2006X,hst_16075_01_wfc3_ir_f110w_ie9801_drz,15,185.7287693,15.8223383,26.808004458603335,-15.5041,11.303904458603336,-20.469452133971956,False,False
2006X,hst_16075_01_wfc3_ir_f110w_ie9801_drz,15,185.7287693,15.8223383,25.93315082095866,-15.5041,10.42905082095866,-21.344305771616632,False,False
2006X,hst_16075_01_wfc3_ir_f110w_ie9801_drz,15,185.7287693,15.8223383,25.93530158715996,-15.5041,10.43120158715996,-21.34215500541533,False,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f160w_all_drz,16,185.8140156,15.7942549,25.932537326506313,-0.3173,25.615237326506314,-6.158119266068976,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f160w_all_drz,16,185.8140156,15.7942549,25.933810922828947,-0.3173,25.616510922828947,-6.1568456697463425,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f160w_all_drz,16,185.8140156,15.7942549,26.808004458603335,-0.3173,26.490704458603336,-5.282652133971954,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f160w_all_drz,16,185.8140156,15.7942549,25.93315082095866,-0.3173,25.61585082095866,-6.157505771616631,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f160w_all_drz,16,185.8140156,15.7942549,25.93530158715996,-0.3173,25.61800158715996,-6.1553550054153305,True,False
2006X,hst_14178_ct_wfc3_ir_f110w_id1kct_drz,17,185.813355,15.7951112,25.932537326506313,-1.3752,24.557337326506314,-7.216019266068976,True,False
2006X,hst_14178_ct_wfc3_ir_f110w_id1kct_drz,17,185.813355,15.7951112,25.933810922828947,-1.3752,24.558610922828947,-7.214745669746343,True,False
2006X,hst_14178_ct_wfc3_ir_f110w_id1kct_drz,17,185.813355,15.7951112,26.808004458603335,-1.3752,25.432804458603336,-6.340552133971954,True,False
2006X,hst_14178_ct_wfc3_ir_f110w_id1kct_drz,17,185.813355,15.7951112,25.93315082095866,-1.3752,24.55795082095866,-7.215405771616631,True,False
2006X,hst_14178_ct_wfc3_ir_f110w_id1kct_drz,17,185.813355,15.7951112,25.93530158715996,-1.3752,24.56010158715996,-7.213255005415331,True,False
2006X,iejn02010_drz,18,185.7531752,15.8384692,25.932537326506313,-6.1478,19.784737326506313,-11.988619266068977,True,False
2006X,iejn02010_drz,18,185.7531752,15.8384692,25.933810922828947,-6.1478,19.786010922828947,-11.987345669746343,True,False
2006X,iejn02010_drz,18,185.7531752,15.8384692,26.808004458603335,-6.1478,20.660204458603335,-11.113152133971955,True,False
2006X,iejn02010_drz,18,185.7531752,15.8384692,25.93315082095866,-6.1478,19.78535082095866,-11.988005771616631,True,False
2006X,iejn02010_drz,18,185.7531752,15.8384692,25.93530158715996,-6.1478,19.78750158715996,-11.985855005415331,True,False
2006X,hst_16500_62_wfc3_ir_f160w_iejn62_drz,19,185.7269767,15.8232436,25.932537326506313,-13.1575,12.775037326506313,-18.998319266068975,False,False
2006X,hst_16500_62_wfc3_ir_f160w_iejn62_drz,19,185.7269767,15.8232436,25.933810922828947,-13.1575,12.776310922828946,-18.997045669746342,False,False
2006X,hst_16500_62_wfc3_ir_f160w_iejn62_drz,19,185.7269767,15.8232436,26.808004458603335,-13.1575,13.650504458603335,-18.122852133971953,False,False
2006X,hst_16500_62_wfc3_ir_f160w_iejn62_drz,19,185.7269767,15.8232436,25.93315082095866,-13.1575,12.775650820958658,-18.99770577161663,False,False
2006X,hst_16500_62_wfc3_ir_f160w_iejn62_drz,19,185.7269767,15.8232436,25.93530158715996,-13.1575,12.777801587159958,-18.995555005415333,False,False
2006X,ie9801020_drz,20,185.7286999,15.8222738,25.932537326506313,-14.9309,11.001637326506314,-20.771719266068978,False,False
2006X,ie9801020_drz,20,185.7286999,15.8222738,25.933810922828947,-14.9309,11.002910922828947,-20.770445669746344,False,False
2006X,ie9801020_drz,20,185.7286999,15.8222738,26.808004458603335,-14.9309,11.877104458603336,-19.896252133971956,False,False
2006X,ie9801020_drz,20,185.7286999,15.8222738,25.93315082095866,-14.9309,11.00225082095866,-20.771105771616632,False,False
2006X,ie9801020_drz,20,185.7286999,15.8222738,25.93530158715996,-14.9309,11.00440158715996,-20.76895500541533,False,False
2006X,hst_14178_cu_wfc3_ir_f160w_id1kcu_drz,21,185.8327412,15.8200771,25.932537326506313,-11.5152,14.417337326506313,-17.356019266068976,False,False
2006X,hst_14178_cu_wfc3_ir_f160w_id1kcu_drz,21,185.8327412,15.8200771,25.933810922828947,-11.5152,14.418610922828947,-17.354745669746343,False,False
2006X,hst_14178_cu_wfc3_ir_f160w_id1kcu_drz,21,185.8327412,15.8200771,26.808004458603335,-11.5152,15.292804458603335,-16.480552133971955,False,False
2006X,hst_14178_cu_wfc3_ir_f160w_id1kcu_drz,21,185.8327412,15.8200771,25.93315082095866,-11.5152,14.417950820958659,-17.35540577161663,False,False
2006X,hst_14178_cu_wfc3_ir_f160w_id1kcu_drz,21,185.8327412,15.8200771,25.93530158715996,-11.5152,14.420101587159959,-17.35325500541533,False,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_all_drz,22,185.8140199,15.7942586,25.932537326506313,-0.6736,25.258937326506313,-6.514419266068977,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_all_drz,22,185.8140199,15.7942586,25.933810922828947,-0.6736,25.260210922828946,-6.5131456697463435,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_all_drz,22,185.8140199,15.7942586,26.808004458603335,-0.6736,26.134404458603335,-5.638952133971955,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_all_drz,22,185.8140199,15.7942586,25.93315082095866,-0.6736,25.25955082095866,-6.5138057716166315,True,False
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_all_drz,22,185.8140199,15.7942586,25.93530158715996,-0.6736,25.26170158715996,-6.5116550054153315,True,False
2006X,hst_15133_31_wfc3_ir_f160w_idkv31_drz,23,185.7288731,15.8222828,25.932537326506313,-14.8435,11.089037326506313,-20.684319266068975,False,False
2006X,hst_15133_31_wfc3_ir_f160w_idkv31_drz,23,185.7288731,15.8222828,25.933810922828947,-14.8435,11.090310922828946,-20.683045669746342,False,False
2006X,hst_15133_31_wfc3_ir_f160w_idkv31_drz,23,185.7288731,15.8222828,26.808004458603335,-14.8435,11.964504458603335,-19.808852133971953,False,False
2006X,hst_15133_31_wfc3_ir_f160w_idkv31_drz,23,185.7288731,15.8222828,25.93315082095866,-14.8435,11.089650820958658,-20.68370577161663,False,False
2006X,hst_15133_31_wfc3_ir_f160w_idkv31_drz,23,185.7288731,15.8222828,25.93530158715996,-14.8435,11.091801587159958,-20.681555005415333,False,False
2006X,iejn62010_drz,24,185.7287721,15.8222813,25.932537326506313,-14.9051,11.027437326506314,-20.745919266068974,False,False
2006X,iejn62010_drz,24,185.7287721,15.8222813,25.933810922828947,-14.9051,11.028710922828948,-20.74464566974634,False,False
2006X,iejn62010_drz,24,185.7287721,15.8222813,26.808004458603335,-14.9051,11.902904458603336,-19.870452133971952,False,False
2006X,iejn62010_drz,24,185.7287721,15.8222813,25.93315082095866,-14.9051,11.02805082095866,-20.74530577161663,False,False
2006X,iejn62010_drz,24,185.7287721,15.8222813,25.93530158715996,-14.9051,11.03020158715996,-20.743155005415332,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_all_drz,25,185.7214012,15.7969714,25.932537326506313,-7.2217,18.710837326506315,-13.062519266068975,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_all_drz,25,185.7214012,15.7969714,25.933810922828947,-7.2217,18.71211092282895,-13.061245669746341,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_all_drz,25,185.7214012,15.7969714,26.808004458603335,-7.2217,19.586304458603337,-12.187052133971953,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_all_drz,25,185.7214012,15.7969714,25.93315082095866,-7.2217,18.71145082095866,-13.06190577161663,False,False
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_all_drz,25,185.7214012,15.7969714,25.93530158715996,-7.2217,18.713601587159957,-13.059755005415333,False,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_all_drz,26,185.721066,15.8045258,25.932537326506313,-5.9149,20.017637326506314,-11.755719266068976,True,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_all_drz,26,185.721066,15.8045258,25.933810922828947,-5.9149,20.018910922828947,-11.754445669746342,True,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_all_drz,26,185.721066,15.8045258,26.808004458603335,-5.9149,20.893104458603336,-10.880252133971954,True,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_all_drz,26,185.721066,15.8045258,25.93315082095866,-5.9149,20.01825082095866,-11.75510577161663,True,False
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_all_drz,26,185.721066,15.8045258,25.93530158715996,-5.9149,20.02040158715996,-11.75295500541533,True,False
2006X,hst_16500_02_wfc3_ir_f160w_iejn02_drz,27,185.7400556,15.8082394,25.932537326506313,-5.8167,20.115837326506313,-11.657519266068977,True,False
2006X,hst_16500_02_wfc3_ir_f160w_iejn02_drz,27,185.7400556,15.8082394,25.933810922828947,-5.8167,20.117110922828946,-11.656245669746344,True,False
2006X,hst_16500_02_wfc3_ir_f160w_iejn02_drz,27,185.7400556,15.8082394,26.808004458603335,-5.8167,20.991304458603334,-10.782052133971955,True,False
2006X,hst_16500_02_wfc3_ir_f160w_iejn02_drz,27,185.7400556,15.8082394,25.93315082095866,-5.8167,20.116450820958658,-11.656905771616632,True,False
2006X,hst_16500_02_wfc3_ir_f160w_iejn02_drz,27,185.7400556,15.8082394,25.93530158715996,-5.8167,20.118601587159958,-11.654755005415332,True,False
2006X,ie9801010_drz,28,185.7287613,15.822287,25.932537326506313,-15.4696,10.462937326506314,-21.310419266068976,False,False
2006X,ie9801010_drz,28,185.7287613,15.822287,25.933810922828947,-15.4696,10.464210922828947,-21.309145669746343,False,False
2006X,ie9801010_drz,28,185.7287613,15.822287,26.808004458603335,-15.4696,11.338404458603335,-20.434952133971954,False,False
2006X,ie9801010_drz,28,185.7287613,15.822287,25.93315082095866,-15.4696,10.463550820958659,-21.30980577161663,False,False
2006X,ie9801010_drz,28,185.7287613,15.822287,25.93530158715996,-15.4696,10.465701587159959,-21.30765500541533,False,False
2006X,idkv31030_drz,29,185.7288847,15.8223073,25.932537326506313,-14.8729,11.059637326506314,-20.713719266068978,False,False
2006X,idkv31030_drz,29,185.7288847,15.8223073,25.933810922828947,-14.8729,11.060910922828947,-20.712445669746344,False,False
2006X,idkv31030_drz,29,185.7288847,15.8223073,26.808004458603335,-14.8729,11.935104458603336,-19.838252133971956,False,False
2006X,idkv31030_drz,29,185.7288847,15.8223073,25.93315082095866,-14.8729,11.06025082095866,-20.713105771616632,False,False
2006X,idkv31030_drz,29,185.7288847,15.8223073,25.93530158715996,-14.8729,11.06240158715996,-20.71095500541533,False,False
2006X,hst_14178_cs_wfc3_ir_f110w_id1kcs_drz,30,185.814084,15.7951765,25.932537326506313,-1.1001,24.832437326506312,-6.940919266068978,True,False
2006X,hst_14178_cs_wfc3_ir_f110w_id1kcs_drz,30,185.814084,15.7951765,25.933810922828947,-1.1001,24.833710922828946,-6.939645669746344,True,False
2006X,hst_14178_cs_wfc3_ir_f110w_id1kcs_drz,30,185.814084,15.7951765,26.808004458603335,-1.1001,25.707904458603334,-6.065452133971956,True,False
2006X,hst_14178_cs_wfc3_ir_f110w_id1kcs_drz,30,185.814084,15.7951765,25.93315082095866,-1.1001,24.833050820958658,-6.940305771616632,True,False
2006X,hst_14178_cs_wfc3_ir_f110w_id1kcs_drz,30,185.814084,15.7951765,25.93530158715996,-1.1001,24.835201587159958,-6.938155005415332,True,False
2006X,hst_14178_cr_wfc3_ir_f160w_id1kcr_drz,31,185.8326799,15.8200468,25.932537326506313,-11.4903,14.442237326506314,-17.331119266068974,False,False
2006X,hst_14178_cr_wfc3_ir_f160w_id1kcr_drz,31,185.8326799,15.8200468,25.933810922828947,-11.4903,14.443510922828947,-17.32984566974634,False,False
2006X,hst_14178_cr_wfc3_ir_f160w_id1kcr_drz,31,185.8326799,15.8200468,26.808004458603335,-11.4903,15.317704458603336,-16.455652133971952,False,False
2006X,hst_14178_cr_wfc3_ir_f160w_id1kcr_drz,31,185.8326799,15.8200468,25.93315082095866,-11.4903,14.44285082095866,-17.33050577161663,False,False
