SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
1997bq,hst_15145_33_wfc3_ir_f160w_idgg33_drz,1,154.2230311,73.4007045,67.38,57.187,46.794,-15.0465,0.0001,1043774.0,48.96202,0.00043437787,-0.00010714927,0.00032809676,2024-11-08,HST,WFC3,F160W,-3.5625000794728e-05,-1.3626919584088e-21,-9.430279044874201e-22,3.56250007947285e-05
1997bq,idgg33020_drz,2,154.2227621,73.4005957,-85.88,56.264,44.655,-15.0686,0.0001,1065201.0,68.13321,0.00050052616,2.6619868e-05,0.00031684709,2025-04-11,HST,WFC3,F160W,3.11591675782652e-05,1.7269827950909e-05,1.7269827950909e-05,-3.1159167578265e-05
1997bq,hst_15145_39_wfc3_ir_f160w_idgg39_drz,3,154.223238,73.4006844,52.96,59.634,52.647,-15.126,0.0,1123088.0,50.10025,0.00033190238,-7.6542281e-05,0.00031008007,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-3.8217980134800003e-22,4.6761653443465903e-23,3.56250007947285e-05
1997bq,idgg31020_drz,4,154.2230451,73.4006644,-84.12,54.888,43.017,-15.0444,0.0001,1041753.0,70.45885,0.00053821516,4.2498126e-05,0.0003341171,2025-04-07,HST,WFC3,F160W,3.11591675773636e-05,1.72698279525356e-05,1.72698279525356e-05,-3.1159167577363e-05
1997bq,hst_15145_37_wfc3_ir_f160w_idgg37_drz,5,154.2232237,73.400662,50.35,60.62,52.432,-15.1221,0.0,1119073.0,51.12999,0.00032643505,-9.0034504e-05,0.00030943356,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-4.998911756831901e-22,4.48130142837771e-22,3.56250007947285e-05
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_all_drz,6,154.1960113,73.376895,10.42,24.009,15.574,-6.9601,0.0113,608.2086,6.30422,0.0018130401,-0.00084993226,0.0040449025,2024-11-22,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
1997bq,idgg35020_drz,7,154.2228057,73.4005929,-86.07,55.705,44.053,-15.0676,0.0001,1064206.0,68.30173,0.00051438913,2.6379921e-05,0.00032317467,2025-03-31,HST,WFC3,F160W,3.11591675782391e-05,1.72698279509561e-05,1.72698279509561e-05,-3.1159167578239e-05
1997bq,idgg39020_drz,8,154.2241786,73.4007297,29.04,61.014,42.709,-15.0329,0.0001,1030800.0,77.23727,0.00033450697,-0.00023733184,0.00048234491,2025-04-07,HST,WFC3,F160W,-3.1821232491577e-05,1.60171734192205e-05,1.60171734192205e-05,3.18212324915775e-05
1997bq,hst_15145_3b_wfc3_ir_f160w_idgg3b_drz,9,154.2232291,73.4006681,49.63,60.763,51.733,-15.1162,0.0,1112964.0,50.68431,0.00033052469,-0.00010146003,0.00031396886,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.3847131805542001e-21,-2.2384648175298e-21,3.56250007947285e-05
1997bq,idgg37020_drz,10,154.2241073,73.4005966,28.02,61.184,43.326,-15.0329,0.0001,1030776.0,73.47179,0.0003257544,-0.00022030022,0.00047411563,2025-04-03,HST,WFC3,F160W,-3.1821232492681e-05,1.60171734170277e-05,1.60171734170277e-05,3.18212324926812e-05
