SNID,filename,Telescope,Instrument,Filter
1997bq,hst_16234_70_wfc3_ir_f160w_ieel70_drz.fits,HST,WFC3,F160W
1997bq,idgg31020_drz.fits,HST,WFC3,F160W
1997bq,idgg3b020_drz.fits,HST,WFC3,F160W
1997bq,idgg35020_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_3b_wfc3_ir_f160w_idgg3b_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_3b_wfc3_ir_total_idgg3b_drz.fits,HST,WFC3,detection
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
1997bq,hst_16234_70_wfc3_ir_total_ieel70_drz.fits,HST,WFC3,detection
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_31_wfc3_ir_total_idgg31_drz.fits,HST,WFC3,detection
1997bq,hst_15145_33_wfc3_ir_f160w_idgg33_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_33_wfc3_ir_total_idgg33_drz.fits,HST,WFC3,detection
1997bq,hst_15145_31_wfc3_ir_f160w_idgg31_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_35_wfc3_ir_total_idgg35_drz.fits,HST,WFC3,detection
1997bq,hst_16234_69_wfc3_ir_f160w_ieel69_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_37_wfc3_ir_f160w_idgg37_drz.fits,HST,WFC3,F160W
1997bq,idgg39020_drz.fits,HST,WFC3,F160W
1997bq,hst_16234_69_wfc3_ir_total_ieel69_drz.fits,HST,WFC3,detection
1997bq,hst_15145_37_wfc3_ir_total_idgg37_drz.fits,HST,WFC3,detection
1997bq,hst_15145_35_wfc3_ir_f160w_idgg35_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_39_wfc3_ir_f160w_idgg39_drz.fits,HST,WFC3,F160W
1997bq,idgg37020_drz.fits,HST,WFC3,F160W
1997bq,idgg33020_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_39_wfc3_ir_total_idgg39_drz.fits,HST,WFC3,detection
2005W,idgg0b020_drz.fits,HST,WFC3,F160W
2005W,idgg01020_drz.fits,HST,WFC3,F160W
2005W,hst_15145_06_wfc3_ir_total_idgg06_drz.fits,HST,WFC3,detection
2005W,hst_15145_06_wfc3_ir_f160w_idgg06_drz.fits,HST,WFC3,F160W
2005W,hst_15145_0b_wfc3_ir_total_idgg0b_drz.fits,HST,WFC3,detection
2005W,hst_15145_0b_wfc3_ir_f160w_idgg0b_drz.fits,HST,WFC3,F160W
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2005W,hst_15145_01_wfc3_ir_f160w_idgg01_drz.fits,HST,WFC3,F160W
2005W,hst_15145_03_wfc3_ir_total_idgg03_drz.fits,HST,WFC3,detection
2005W,idgg03020_drz.fits,HST,WFC3,F160W
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2005W,idgg06020_drz.fits,HST,WFC3,F160W
2005W,hst_15145_03_wfc3_ir_f160w_idgg03_drz.fits,HST,WFC3,F160W
2005W,hst_15145_01_wfc3_ir_total_idgg01_drz.fits,HST,WFC3,detection
2006X,hst_16075_01_wfc3_ir_f110w_ie9801_drz.fits,HST,WFC3,F110W
2006X,hst_14178_cs_wfc3_ir_total_id1kcs_drz.fits,HST,WFC3,detection
2006X,hst_16500_62_wfc3_ir_f160w_iejn62_drz.fits,HST,WFC3,F160W
2006X,hst_14178_cr_wfc3_ir_f110w_id1kcr_drz.fits,HST,WFC3,F110W
2006X,hst_16500_62_wfc3_ir_total_iejn62_drz.fits,HST,WFC3,detection
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2006X,iejn62010_drz.fits,HST,WFC3,F160W
2006X,ie9801020_drz.fits,HST,WFC3,F160W
2006X,hst_14178_cr_wfc3_ir_total_id1kcr_drz.fits,HST,WFC3,detection
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006X,hst_16075_01_wfc3_ir_total_ie9801_drz.fits,HST,WFC3,detection
2006X,ie9801010_drz.fits,HST,WFC3,F110W
2006X,hst_14178_cs_wfc3_ir_f110w_id1kcs_drz.fits,HST,WFC3,F110W
2006X,hst_16075_01_wfc3_ir_f160w_ie9801_drz.fits,HST,WFC3,F160W
2006X,iejn02010_drz.fits,HST,WFC3,F160W
2006X,hst_14178_cr_wfc3_ir_f160w_id1kcr_drz.fits,HST,WFC3,F160W
2006X,hst_skycell-p1635x04y19_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006X,idkv31030_drz.fits,HST,WFC3,F160W
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006X,hst_14178_ct_wfc3_ir_total_id1kct_drz.fits,HST,WFC3,detection
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
