SNID,Filename,Date,Photometric Calibration,Filter,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm9kc3q/ibtm9kc3q_drz.fits,2025-03-31,WFC3 IR F125W MJD#56457.5890,F125W,2.2579191e-20,-21.1,12486.06,26.225601968956266
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi4j020/iboi4j020_drz.fits,2025-04-03,WFC3 IR F160W MJD#56183.2693,F160W,1.9407565e-20,-21.1,15369.176,25.938819456825435
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe1hsvq/iboe1hsvq_drz.fits,2025-03-31,WFC3 IR F125W MJD#56021.3854,F125W,2.2559199e-20,-21.1,12486.06,26.226563724110793
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe1hsiq/iboe1hsiq_drz.fits,2025-04-22,WFC3 IR F125W MJD#56021.3628,F125W,2.2559198e-20,-21.1,12486.06,26.226563772239114
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboeadq2q/iboeadq2q_drz.fits,2025-04-03,WFC3 IR F125W MJD#56018.7597,F125W,2.2559076e-20,-21.1,12486.06,26.226569643909503
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm8h020/ibtm8h020_drz.fits,2025-03-31,WFC3 IR F160W MJD#56406.3940,F160W,1.9414698e-20,-21.1,15369.176,25.93842048181279
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi4jveq/iboi4jveq_drz.fits,2025-04-07,WFC3 IR F125W MJD#56183.2621,F125W,2.2566665e-20,-21.1,12486.06,26.226204457567835
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ib3726050/ib3726050_drz.fits,2025-04-07,WFC3 IR F140W MJD#55309.3278,F140W,1.472015625e-20,-21.1,13922.907,26.453569339085224
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/n94sb3010/n94sb3010_mos.fits,2009-08-10T06:21:26,"NICMOS,2,F110W,DN",F110W,2.8628098e-19,-21.1,11234.7,23.69721136217584
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm8hppq/ibtm8hppq_drz.fits,2025-04-03,WFC3 IR F125W MJD#56406.3868,F125W,2.2576853e-20,-21.1,12486.06,26.225714399143857
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe3l020/iboe3l020_drz.fits,2025-04-11,WFC3 IR F160W MJD#56128.3905,F160W,1.9405812e-20,-21.1,15369.176,25.938917531031557
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm8dh2q/ibtm8dh2q_drz.fits,2025-04-07,WFC3 IR F125W MJD#56403.7629,F125W,2.2576733e-20,-21.1,12486.06,26.225720170040756
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/n94sb9010/n94sb9010_mos.fits,2009-08-12T06:42:15,"NICMOS,2,F110W,DN",F110W,2.8628098e-19,-21.1,11234.7,23.69721136217584
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi5gmwq/iboi5gmwq_drz.fits,2025-04-03,WFC3 IR F125W MJD#56237.9403,F125W,2.2569161e-20,-21.1,12486.06,26.22608437568123
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtman020/ibtman020_drz.fits,2025-04-11,WFC3 IR F160W MJD#56514.2678,F160W,1.9418146e-20,-21.1,15369.176,25.938227674999887
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm8gpdq/ibtm8gpdq_drz.fits,2025-04-22,WFC3 IR F125W MJD#56406.3429,F125W,2.2576851e-20,-21.1,12486.06,26.225714495325224
